@_uuid,today,general_infoq5_organization,general_infoq1_province,general_infoq2_district,s1_household_profile/head_of_household/female_hhd,s1_household_profile/head_of_household/child_hhd,s1_household_profile/head_of_household/elderly_hhd,s1_household_profile/head_of_household/chronically_ill,s1_household_profile/head_of_household/hh_disability,s2_cash_distribution_processq2_1_do_u_think_gave_right_people,s2_cash_distribution_processq2_3_how_mach_cash,s2_cash_distribution_processq2_5_travel_more_than_1_hour,s2_cash_distribution_processq2_6_feel_unsafe_when_travelling,s3_use_of_cash_assistanceq3_4_cash_improved_wellbeing_ur_hhd,s3_use_of_cash_assistanceq3_5_1_food,s3_use_of_cash_assistanceq3_5_2_kitchen_items_nfis,s3_use_of_cash_assistanceq3_5_3_hygiene_items_nfis,s3_use_of_cash_assistanceq3_5_4_clothes_nfis,s3_use_of_cash_assistanceq3_5_5_blankets_nfis,s3_use_of_cash_assistanceq3_5_6_rent,s3_use_of_cash_assistanceq3_5_7_shelter_repair,s3_use_of_cash_assistanceq3_5_8_health,s3_use_of_cash_assistanceq3_5_9_transportation,s3_use_of_cash_assistanceq3_5_10_utillites,s3_use_of_cash_assistanceq3_5_11_debt_repayment,s3_use_of_cash_assistanceq3_5_12_education,s3_use_of_cash_assistanceq3_5_13_saved,s5_multi_sector_outcome_indexq5_4_debt_compared,CSI,rCSI_newThreshold,FCS,FCS_Level,FCS_rCSI
a43dedec-d906-4b9b-afcc-7da11501730b,2018-01-17,NRC,Hirat,Hirat,1,0,0,0,0,yes,14000,no,no,yes_improved_a_little,more_than_half,,,,,less_than_half,,less_than_half,,less_than_half,,,less_than_half,same,9,2,42,2,2
ff76138b-f956-42db-860e-8e0bb3768b10,2018-01-17,NRC,Hirat,Hirat,1,1,0,0,0,yes,14000,no,no,yes_improved_a_little,less_than_half,,,less_than_half,,less_than_half,,less_than_half,less_than_half,less_than_half,,,,less,14,1,35.5,2,1
cb2b6bba-d736-4a0b-bd41-2a3eb09bd86b,2018-01-17,NRC,Hirat,Hirat,0,1,0,0,0,yes,14000,no,no,yes_improved_a_lot,more_than_half,less_than_half,,less_than_half,,less_than_half,,less_than_half,less_than_half,less_than_half,,,,less,14,1,29.5,2,1
91578ae5-3056-43e6-a457-bbce119222e8,2018-01-17,NRC,Hirat,Hirat,,,,,,yes,14000,no,no,yes_improved_a_little,more_than_half,,,,,less_than_half,,less_than_half,less_than_half,less_than_half,,,less_than_half,same,8,2,39.5,2,2
2c8419c9-416f-4151-97d6-5946cf5fca0b,2018-01-17,NRC,Hirat,Hirat,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,less_than_half,less_than_half,less_than_half,less_than_half,,,less,11,1,38,2,1
9c80f954-ba60-42f6-8934-82073e69b25e,2018-01-17,NRC,Hirat,Hirat,0,0,1,0,0,yes,14000,no,no,yes_improved_a_lot,less_than_half,less_than_half,,,,less_than_half,,more_than_half,less_than_half,less_than_half,,,less_than_half,less,10,1,42,2,1
810fba97-0b7b-4b99-a4cb-65e0c138fcb7,2018-01-16,NRC,Hirat,Injil,,,,,,yes,26000,yes,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,less_than_half,less_than_half,less_than_half,,,less_than_half,same,6,2,37,2,2
1b9bd924-6be0-4e0a-a543-6d0d275473a1,2018-01-16,NRC,Hirat,Hirat,,,,,,yes,26000,no,no,yes_improved_a_little,less_than_half,,,,,less_than_half,,less_than_half,less_than_half,less_than_half,less_than_half,,less_than_half,less,10,1,42.5,3,2
c1515724-ee3f-4591-b74c-2e0e84222b2a,2018-01-16,NRC,Hirat,Injil,,,,,,yes,26000,yes,no,yes_improved_a_lot,more_than_half,,,,,less_than_half,,less_than_half,less_than_half,less_than_half,,,,same,6,2,33.5,2,2
98e8a8e7-804d-4d8e-8666-73be94bc8cfd,2018-01-16,NRC,Hirat,Injil,,,,,,yes,26000,yes,no,yes_improved_a_lot,more_than_half,,,,,less_than_half,,,less_than_half,less_than_half,,,less_than_half,same,5,2,38,2,2
